Series Name,Series Code,countryName,Country Code,YR1990,YR2000,YR2005,YR2006,YR2007,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],year2013,YR2014
"Population, total",SP.POP.TOTL,Nicaragua,NIC,4137788,5100920,5455219,5524927,5595533,5667983,5743329,5822209,5905146,5991733,6080478,
"Population, total",SP.POP.TOTL,Niger,NER,7753907,10989815,13183798,13679705,14197289,14737895,15302948,15893746,16511462,17157042,17831270,
"Population, total",SP.POP.TOTL,Nigeria,NGA,95617350,122876727,139585891,143314909,147187353,151208080,155381020,159707780,164192925,168833776,173615345,
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,43972,68434,64372,62235,59792,57345,55278,53860,53230,53305,53855,
"Population, total",SP.POP.TOTL,Norway,NOR,4241473,4490967,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5080166,
"Population, total",SP.POP.TOTL,Oman,OMN,1810103,2192535,2522325,2554905,2569739,2593523,2663224,2802768,3024774,3314001,3632444,
"Population, total",SP.POP.TOTL,Pakistan,PAK,111090879,143832014,157971415,160905794,163928329,167008083,170093999,173149306,176166353,179160111,182142594,
"Population, total",SP.POP.TOTL,Palau,PLW,15089,19174,19907,20012,20118,20228,20344,20470,20606,20754,20918,
"Population, total",SP.POP.TOTL,Panama,PAN,2486776,3054812,3365929,3428509,3491034,3553480,3615846,3678128,3740282,3802281,3864170,
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,4157903,5379226,6095959,6245797,6397623,6550877,6704829,6858945,7012977,7167010,7321262,
"Population, total",SP.POP.TOTL,Paraguay,PRY,4249747,5350253,5904170,6014781,6125285,6236005,6347383,6459721,6573097,6687361,6802295,
"Population, total",SP.POP.TOTL,Peru,PER,21772035,26000080,27723281,28030688,28328410,28625628,28934303,29262830,29614887,29987800,30375603,
"Population, total",SP.POP.TOTL,Philippines,PHL,61948688,77651848,85821214,87366573,88875548,90371287,91886400,93444322,95053437,96706764,98393574,
"Population, total",SP.POP.TOTL,Poland,POL,38110782,38258629,38165445,38141267,38120560,38125759,38151603,38183683,38534157,38535873,38514479,
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,10289898,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3537000,3810605,3821362,3805214,3782995,3760866,3740410,3721208,3686580,3651545,3615086,
"Population, total",SP.POP.TOTL,Qatar,QAT,476517,593693,821159,967602,1152459,1359114,1564082,1749713,1910902,2050514,2168673,
"Population, total",SP.POP.TOTL,Romania,ROM,23201835,22442971,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19981358,
"Population, total",SP.POP.TOTL,Russia,RUS,148292000,146596870,143113885,142487260,142114903,141956409,141909244,142385523,142956460,143178000,143499861,
"Population, total",SP.POP.TOTL,Rwanda,RWA,7214696,8395577,9429457,9660946,9928143,10222961,10529668,10836732,11144315,11457801,11776522,
"Population, total",SP.POP.TOTL,Samoa,WSM,162865,174614,179928,181073,182240,183444,184704,186029,187429,188889,190372,
"Population, total",SP.POP.TOTL,San Marino,SMR,24135,26969,29775,30130,30377,30549,30698,30861,31048,31247,31448,
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,117395,139428,154615,158806,163390,168253,173240,178228,183177,188098,192993,
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,16206078,20144584,24690067,25371936,25915624,26366358,26796375,27258387,27761728,28287855,28828870,
"Population, total",SP.POP.TOTL,Senegal,SEN,7514110,9861679,11270826,11582925,11904974,12238791,12586827,12950564,13330737,13726021,14133280,
"Population, total",SP.POP.TOTL,Serbia,SRB,7586000,7516346,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,
"Population, total",SP.POP.TOTL,Seychelles,SYC,70000,81131,82900,84600,85033,86956,87298,89770,87441,88303,89173,
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,4042678,4139757,5119895,5280909,5416015,5532139,5641182,5751976,5865491,5978727,6092075,
"Population, total",SP.POP.TOTL,Singapore,SGP,3047100,4027900,4265800,4401400,4588600,4839400,4987600,5076700,5183700,5312400,5399200,
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,,30519,36936,38272,39464,40459,39133,37850,38486,39088,39689,
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5388720,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1988925,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,311849,412336,469306,480745,492148,503541,514964,526447,537997,549598,561231,
"Population, total",SP.POP.TOTL,Somalia,SOM,6321615,7385416,8466938,8687671,8910851,9140259,9380854,9636173,9907903,10195134,10495583,
"Population, total",SP.POP.TOTL,South Africa,ZAF,35200000,44000000,47349013,47991699,48656506,49344228,50055701,50791808,51553479,52341695,53157490,
"Population, total",SP.POP.TOTL,South Sudan,SSD,5764216,6652984,8039351,8376893,8736736,9118386,9520571,9940929,10381110,10837527,11296173,
"Population, total",SP.POP.TOTL,Spain,ESP,38850435,40263216,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46617825,
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,17015000,19102000,19644000,19858000,20039000,20217000,20450000,20653000,20869000,20328000,20483000,
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40833,45544,49139,49823,50478,51110,51731,52352,52971,53584,54191,
"Population, total",SP.POP.TOTL,St. Lucia,LCA,138180,156949,165407,167658,170149,172734,175200,177397,179271,180870,182273,
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,30036,28384,27906,28414,28905,29376,29820,30235,30615,30959,31264,
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,107509,107897,108749,108908,109045,109158,109249,109316,109357,109373,109373,
"Population, total",SP.POP.TOTL,Sudan,SDN,20008804,27729798,31585871,32397535,33218250,34040065,34853178,35652002,36430923,37195349,37964306,
"Population, total",SP.POP.TOTL,Suriname,SUR,406764,466668,499523,505186,510433,515372,520173,524960,529761,534541,539276,
"Population, total",SP.POP.TOTL,Swaziland,SWZ,862728,1063715,1104642,1118253,1134977,1153929,1173678,1193148,1212159,1230985,1249514,
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,7184250,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8087875,
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12451539,16371208,18167367,18804914,19561477,20346056,21031546,21532647,21961676,22399254,22845550,
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5297286,6186152,6805655,6954522,7111025,7275252,7447396,7627326,7814850,8008990,8207834,
"Population, total",SP.POP.TOTL,Tanzania,TZA,25484814,34020512,38824384,39942347,41119693,42353790,43639752,44973330,46354607,47783107,49253126,
"Population, total",SP.POP.TOTL,Thailand,THA,56582726,62343379,65559487,65883961,66076927,66185340,66277335,66402316,66576332,66785001,67010502,
"Population, total",SP.POP.TOTL,Timor-Leste,TMP,751488,853585,982889,999053,1015482,1032182,1049156,1066409,1120392,1148958,1180069,
"Population, total",SP.POP.TOTL,Togo,TGO,3787602,4864753,5540214,5685845,5834806,5987491,6144457,6306014,6472304,6642928,6816982,
"Population, total",SP.POP.TOTL,Tonga,TON,95165,97962,100960,101617,102289,102947,103557,104098,104554,104941,105323,
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1221904,1267980,1296933,1303478,1310040,1316449,1322518,1328095,1333082,1337439,1341151,
"Population, total",SP.POP.TOTL,Tunisia,TUN,8154400,9552500,10029000,10127900,10225100,10328900,10439600,10547100,10673800,10777500,10886500,
"Population, total",SP.POP.TOTL,Turkey,TUR,53994605,63174483,67743052,68626337,69496513,70363511,71241080,72137546,73058638,73997128,74932641,
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3668000,4501419,4747839,4801595,4858236,4917543,4978962,5041995,5106668,5172931,5240072,
